DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
2, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.083771392703056335" 
2, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.1849178820848465" 
2, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.3508220911026001" 
2, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.42817828059196472" 
2, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.22817061841487885" 
2, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.24269974231719971" 
2, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.045615546405315399" 
2, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.014613324776291847" 
2, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.025298632681369781" 
2, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.023934684693813324" 
2, used, down, 0, -2.5, 2.5, 100, 140, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.052833680063486099" 
2, used, down, 0, -2.5, 2.5, 140, 200, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.10023488104343414" 
2, used, down, 0, -2.5, 2.5, 200, 300, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.12233664840459824" 
2, used, down, 0, -2.5, 2.5, 300, 600, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.065191604197025299" 
2, used, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))-0.069342784583568573" 
2, used, up, 1, -2.5, 2.5, 20, 30, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.1596544086933136" 
2, used, up, 1, -2.5, 2.5, 30, 50, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.05114663764834404" 
2, used, up, 1, -2.5, 2.5, 50, 70, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.088545218110084534" 
2, used, up, 1, -2.5, 2.5, 70, 100, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.083771392703056335" 
2, used, up, 1, -2.5, 2.5, 100, 140, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.1849178820848465" 
2, used, up, 1, -2.5, 2.5, 140, 200, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.3508220911026001" 
2, used, up, 1, -2.5, 2.5, 200, 300, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.42817828059196472" 
2, used, up, 1, -2.5, 2.5, 300, 600, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.22817061841487885" 
2, used, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.24269974231719971" 
2, used, up, 0, -2.5, 2.5, 20, 30, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.045615546405315399" 
2, used, up, 0, -2.5, 2.5, 30, 50, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.014613324776291847" 
2, used, up, 0, -2.5, 2.5, 50, 70, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.025298632681369781" 
2, used, up, 0, -2.5, 2.5, 70, 100, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.023934684693813324" 
2, used, up, 0, -2.5, 2.5, 100, 140, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.052833680063486099" 
2, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.10023488104343414" 
2, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.12233664840459824" 
2, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.065191604197025299" 
2, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "0.885007+0.00159965*log(x+19)*log(x+18)*(3-0.320398*log(x+18))+0.069342784583568573" 
0, used, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x" 
0, used, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.083685+-0.000104849*x+9.12824e-08*x*x))" 
0, used, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.050987+7.03101e-05*x+-1.09927e-07*x*x))" 
0, used, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1-(0.0381757))" 
0, used, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.083685+-0.000104849*x+9.12824e-08*x*x))" 
0, used, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.050987+7.03101e-05*x+-1.09927e-07*x*x))" 
0, used, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.46193+-0.000605595*x+3.30224e-07*x*x+-0.367873/x)*(1+(0.0381757))" 
