OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
M,mujets,down_bfragmentation,4,0.0,2.5,50,70,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0141492560505867 
M,mujets,down_bfragmentation,4,0.0,2.5,70,100,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.020345456898212433 
M,mujets,down_bfragmentation,4,0.0,2.5,100,140,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0071006240323185921 
M,mujets,down_bfragmentation,4,0.0,2.5,140,200,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.00033605328644625843 
M,mujets,down_bfragmentation,4,0.0,2.5,200,300,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.013389419764280319 
M,mujets,down_bfragmentation,4,0.0,2.5,300,600,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.0054963384754955769 
M,mujets,down_bfragmentation,4,0.0,2.5,600,1000,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.017779204994440079 
M,mujets,down_bfragmentation,5,0.0,2.5,20,30,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.013864440843462944 
M,mujets,down_bfragmentation,5,0.0,2.5,30,50,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0041820714250206947 
M,mujets,down_bfragmentation,5,0.0,2.5,50,70,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0047164186835289001 
M,mujets,down_bfragmentation,5,0.0,2.5,70,100,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0067818188108503819 
M,mujets,down_bfragmentation,5,0.0,2.5,100,140,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0023668745998293161 
M,mujets,down_bfragmentation,5,0.0,2.5,140,200,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.00011201776214875281 
M,mujets,down_bfragmentation,5,0.0,2.5,200,300,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))- -0.0044631399214267731 
M,mujets,down_bfragmentation,5,0.0,2.5,300,600,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.001832112786360085 
M,mujets,down_bfragmentation,5,0.0,2.5,600,1000,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.0059264018200337887 
M,mujets,down_btempcorr,4,0.0,2.5,20,30,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.014177997596561909 
M,mujets,down_btempcorr,4,0.0,2.5,30,50,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.0094457156956195831 
M,mujets,down_btempcorr,4,0.0,2.5,50,70,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.016336619853973389 
M,mujets,down_btempcorr,4,0.0,2.5,70,100,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.023635260760784149 
M,mujets,down_btempcorr,4,0.0,2.5,100,140,0,1,0.991952+2.83209e-06*log(x+19)*log(x+18)*(3-52.4285*log(x+18))-0.038234468549489975 
