DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, used, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.050580177456140518" 
1, used, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.12926597893238068" 
1, used, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.074477605521678925" 
1, used, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.17765+(-(0.00915533*(log(x+19)*(log(x+18)*(3-(0.394342*log(x+18))))))))+0.091224536299705505" 
2, used, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "0.931081+(5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))" 
2, used, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "0.931081+(5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))" 
2, used, down, 1, -2.5, 2.5, 20, 30, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.15246720612049103)" 
2, used, down, 1, -2.5, 2.5, 30, 50, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.055732674896717072)" 
2, used, down, 1, -2.5, 2.5, 50, 70, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.065310567617416382)" 
2, used, down, 1, -2.5, 2.5, 70, 100, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.10346032679080963)" 
2, used, down, 1, -2.5, 2.5, 100, 140, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.15544827282428741)" 
2, used, down, 1, -2.5, 2.5, 140, 200, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.21364985406398773)" 
2, used, down, 1, -2.5, 2.5, 200, 300, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.31602400541305542)" 
2, used, down, 1, -2.5, 2.5, 300, 600, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.21511279046535492)" 
2, used, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.27866962552070618)" 
2, used, down, 0, -2.5, 2.5, 20, 30, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.043562058359384537)" 
2, used, down, 0, -2.5, 2.5, 30, 50, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.015923621132969856)" 
2, used, down, 0, -2.5, 2.5, 50, 70, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.018660161644220352)" 
2, used, down, 0, -2.5, 2.5, 70, 100, 0, 1, "0.931081+((5.22936e-06*(log(x+19)*(log(x+18)*(3-(19.7828*log(x+18))))))-0.029560092836618423)" 
